Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Banks - Regional,9.588064516129032,11.00741935483871,33.37,42.200967741935486,34.72032258064516,31,0,10,0,10.29774193548387,48.214285714285715,1,1,34.66225806451613,46.42857142857143,1,1,7,0,0.06,-1,-1,3,False
Metal Fabrication,21.182307692307692,53.19230769230769,35.036153846153844,46.65384615384615,32.98076923076923,13,0,5,0,37.18730769230769,94.64285714285714,2,2,33.949230769230766,92.85714285714286,0,0,5,0,-0.97,0,0,0,False
Aerospace & Defense,16.724166666666665,45.69833333333333,27.180833333333336,40.560833333333335,31.536666666666665,12,0,3,0,31.21125,91.07142857142857,3,3,32.98583333333333,91.07142857142856,0,0,3,0,-1.45,0,0,0,False
Diagnostics & Research,11.291666666666666,40.63166666666667,39.595,27.76,30.376666666666665,6,0,0,0,25.961666666666666,85.71428571428571,4,4,32.385,85.71428571428571,0,0,0,0,-2.01,0,0,0,False
Farm & Heavy Construction Machinery,8.633333333333335,10.423333333333334,27.063333333333333,44.35999999999999,30.015,6,0,2,0,9.528333333333334,41.07142857142857,5,12,29.38833333333333,33.92857142857143,0,0,1,7,0.63,0,0,1,False
Credit Services,12.354333333333333,17.849666666666668,27.857666666666667,44.507333333333335,29.851666666666667,30,0,7,0,15.102,60.71428571428571,6,6,31.634,58.92857142857143,0,0,7,0,-1.78,0,0,0,False
Electrical Equipment & Parts,11.526,44.7384,34.05,35.0144,29.569200000000002,25,0,4,0,28.132199999999997,89.28571428571429,7,5,31.7364,89.28571428571429,0,0,4,-2,-2.17,0,0,0,False
Auto Manufacturers,13.284166666666666,17.175833333333333,26.075833333333335,36.05166666666667,29.364166666666666,12,0,3,0,15.23,64.28571428571429,8,9,30.808333333333334,62.5,0,0,2,1,-1.44,0,0,1,False
Auto Parts,11.292,20.6224,29.251199999999997,37.867,29.124200000000002,50,0,12,0,15.9572,67.85714285714286,9,7,31.2746,66.07142857142857,0,0,12,-2,-2.15,0,0,0,False
Drug Manufacturers - Specialty & Generic,12.180816326530612,41.474489795918366,28.505714285714284,35.80428571428572,27.653877551020408,49,0,12,0,26.82765306122449,87.5,10,11,29.54918367346939,87.5,0,2,13,1,-1.9,0,-2,-1,False
Oil & Gas Refining & Marketing,13.16111111111111,13.63888888888889,18.123333333333335,43.40777777777778,27.61111111111111,9,0,0,0,13.399999999999999,58.92857142857143,11,13,28.81,64.28571428571429,0,0,0,2,-1.2,0,0,0,False
