Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank
Healthcare,12.533750000000001,28.42625,26.70375,50.66125,32.535,8,0,4,0,20.48,67.85714285714286,1
Metal Fabrication,20.651538461538465,58.2623076923077,31.543846153846154,41.76230769230769,31.75769230769231,13,0,5,0,39.45692307692308,96.42857142857143,2
Diagnostics & Research,13.288333333333332,43.92666666666667,40.75833333333333,28.885,31.710000000000004,6,0,0,0,28.6075,87.5,3
Drug Manufacturers - Specialty & Generic,17.175,49.86604166666667,30.548333333333332,38.15875,30.758125000000003,48,1,15,0,33.520520833333336,92.85714285714286,4
Banks - Regional,4.185161290322581,18.316129032258065,23.687096774193545,38.884516129032264,27.87451612903226,31,0,7,0,11.250645161290322,41.07142857142857,5
Aerospace & Defense,9.921666666666667,41.82083333333333,25.5675,39.00333333333334,27.793333333333333,12,0,2,0,25.87125,83.92857142857143,6
Financial Services,4.503076923076923,14.210769230769232,23.486923076923077,37.58461538461539,27.590769230769233,13,0,5,0,9.356923076923078,35.714285714285715,7
Medical Care Facilities,4.295384615384615,17.19,24.256153846153843,38.81923076923077,26.624615384615385,13,1,3,1,10.742692307692309,39.285714285714285,8
Auto Parts,12.453,31.8858,25.2658,37.543800000000005,26.6246,50,0,8,0,22.1694,73.21428571428571,9
Credit Services,7.612258064516129,25.429354838709674,23.768387096774195,40.60677419354838,26.539032258064516,31,0,1,0,16.520806451612902,60.71428571428571,10
Oil & Gas Refining & Marketing,9.487777777777776,24.056666666666665,17.308888888888887,40.525555555555556,26.14333333333333,9,0,0,0,16.77222222222222,62.5,11
Tools & Accessories,5.518,20.058,23.18,32.803999999999995,26.014,5,0,2,0,12.788,51.78571428571429,12
Communication Services,11.984000000000002,23.476,22.754666666666665,43.792,25.978666666666665,15,0,3,0,17.73,64.28571428571429,13
Marine Shipping,11.81142857142857,33.378571428571426,27.165714285714284,23.294285714285714,25.852857142857143,7,0,0,0,22.595,75.0,14
Steel,9.957297297297298,38.48972972972973,29.330000000000002,31.3345945945946,25.844324324324326,37,0,7,0,24.223513513513517,80.35714285714286,15
Drug Manufacturers - General,11.209999999999999,30.271428571428572,25.238571428571426,34.18571428571429,25.037142857142857,7,0,1,0,20.740714285714287,71.42857142857143,16
Specialty Chemicals,10.055882352941177,35.79843137254902,24.608039215686276,32.80607843137255,24.731372549019607,51,0,4,0,22.927156862745097,76.78571428571429,17
Electronic Components,31.457142857142856,88.23714285714286,28.737142857142857,29.37857142857143,24.595714285714283,7,0,1,0,59.847142857142856,98.21428571428571,18
Textile Manufacturing,11.401538461538461,44.347692307692306,28.86,23.536153846153848,24.201538461538462,13,0,1,0,27.87461538461538,85.71428571428571,19
Farm & Heavy Construction Machinery,5.13,13.523333333333333,18.349999999999998,38.46333333333333,24.14,6,0,2,0,9.326666666666666,33.92857142857143,20
Specialty Industrial Machinery,13.739722222222222,48.08833333333334,25.850555555555555,32.02305555555555,23.28388888888889,36,0,6,0,30.91402777777778,89.28571428571429,21
Auto Manufacturers,13.722500000000002,32.399166666666666,17.971666666666668,34.16416666666667,23.276666666666667,12,0,2,0,23.060833333333335,78.57142857142857,22
Packaged Foods,7.407916666666668,17.015416666666667,25.420833333333334,29.49791666666667,22.845416666666665,24,0,4,0,12.211666666666668,48.214285714285715,23
Asset Management,4.470666666666667,19.286,21.231333333333332,35.79533333333334,22.462666666666667,15,0,2,0,11.878333333333334,46.42857142857143,24
Electrical Equipment & Parts,6.792307692307692,44.47115384615385,27.318461538461538,28.533461538461538,22.00576923076923,26,0,2,0,25.63173076923077,82.14285714285714,25
Communication Equipment,10.624999999999998,115.36333333333333,34.87833333333333,26.981666666666666,21.62,6,0,0,0,62.994166666666665,100.0,26
Capital Markets,-2.5750000000000006,14.662,16.71,29.639000000000003,21.565,10,0,1,0,6.0435,23.214285714285715,27
Energy,8.99,32.10333333333333,23.286666666666665,26.848888888888887,21.364444444444445,9,1,1,0,20.546666666666667,69.64285714285714,28
Chemicals,2.878,27.000666666666667,19.878666666666668,27.233999999999998,21.012666666666668,15,0,1,0,14.939333333333334,57.14285714285714,29
Mortgage Finance,-1.8770000000000002,13.325,14.986,39.206,20.723,10,0,2,0,5.723999999999999,17.857142857142858,30
Technology,10.418333333333335,65.85833333333333,21.093333333333334,30.05,20.633333333333333,6,0,0,0,38.138333333333335,94.64285714285714,31
Luxury Goods,18.371000000000002,47.028999999999996,21.892000000000003,25.037,20.598,10,0,1,0,32.7,91.07142857142857,32
Real Estate Services,3.4,21.37,12.61,38.48,20.53,1,0,0,0,12.385,50.0,33
Basic Materials,-0.24142857142857135,10.319999999999999,19.83285714285714,30.664285714285715,19.915,14,0,1,0,5.039285714285714,14.285714285714285,34
Consumer Cyclical,9.31025,21.7155,16.17725,35.3125,19.595,40,0,4,0,15.512875,58.92857142857143,35
Software - Infrastructure,11.083333333333334,25.24166666666667,14.183333333333332,39.61333333333334,18.293333333333333,6,0,1,0,18.1625,66.07142857142857,36
Building Products & Equipment,-1.3854545454545457,8.725454545454546,17.275454545454547,33.152727272727276,18.081818181818182,11,0,2,0,3.6700000000000004,12.5,37
Industrials,1.6,16.21,15.054347826086957,31.4004347826087,17.59086956521739,23,0,1,0,8.905000000000001,30.357142857142854,38
Lodging,4.732,13.508,12.997,32.226,17.516,10,0,0,0,9.12,32.142857142857146,39
Real Estate,2.582142857142857,15.2225,13.36357142857143,34.5075,17.242857142857144,28,0,2,0,8.902321428571428,28.57142857142857,40
Biotechnology,-0.055714285714285924,23.614285714285717,20.60571428571429,30.485714285714288,16.44142857142857,7,0,0,0,11.779285714285717,44.642857142857146,41
Conglomerates,-0.4322222222222223,15.052222222222222,13.85888888888889,24.14888888888889,16.295,18,0,2,0,7.31,26.785714285714285,42
Apparel Manufacturing,3.7939999999999996,19.235,7.94,28.518,14.916,10,0,0,0,11.5145,42.857142857142854,43
Telecom Services,-5.328571428571429,5.427142857142857,2.5085714285714285,35.92142857142857,14.74,7,0,0,0,0.04928571428571393,3.571428571428571,44
"Furnishings, Fixtures & Appliances",0.22882352941176476,10.07294117647059,12.908235294117647,28.7,14.15529411764706,17,0,0,0,5.150882352941177,16.071428571428573,45
Consumer Defensive,1.5933333333333333,10.415,13.05888888888889,26.979444444444443,14.067777777777778,18,0,1,0,6.004166666666666,21.428571428571427,46
Software - Application,-1.133333333333333,30.212500000000002,13.295833333333334,21.285833333333333,12.876666666666667,12,0,1,0,14.539583333333335,53.57142857142857,47
Information Technology Services,5.229166666666667,14.166666666666666,9.317916666666667,25.088333333333335,11.809583333333334,24,0,1,0,9.697916666666666,37.5,48
Insurance - Life,0.0012499999999999734,4.352500000000001,8.32625,22.43375,11.7875,8,0,0,0,2.1768750000000003,7.142857142857142,49
Engineering & Construction,-3.4205714285714284,15.755999999999998,13.04,22.651142857142855,11.64257142857143,35,0,1,0,6.167714285714285,25.0,50
Utilities,-5.799285714285714,8.64,10.702857142857143,16.102857142857143,10.922142857142857,14,0,1,0,1.420357142857143,5.357142857142857,51
