ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close
XPROINDIA.NS,Xpro India Limited,Specialty Chemicals,Basic Materials,False,Cash,Failed Stage 2,watchlist,43.08,13.19,9.29,9.12,33.88,1285.6
IFCI.NS,IFCI Limited,Credit Services,Financial Services,False,Cash,Stage 2,watchlist,41.76,12.67,15.07,29.54,85.26,98.32
UFLEX.NS,UFLEX Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 2,watchlist,49.47,8.8,7.89,47.64,41.75,701.8
NIACL.NS,The New India Assurance Company Limited,Financial Services,Financial Services,False,Cash,Stage 2,watchlist,35.67,7.18,6.42,15.92,29.08,199.11
HERITGFOOD.NS,Heritage Foods Limited,Packaged Foods,Consumer Defensive,False,Cash,Not Sure,watchlist,30.56,7.08,-1.19,12.87,-15.57,378.75
KERNEX.NS,Kernex Microsystems (India) Limited,Software - Application,Technology,False,Cash,Failed Stage 2,watchlist,5.0,6.25,-6.67,-28.22,43.53,1736.4
AEGISVOPAK.NS,Aegis Vopak Terminals Limited,Energy,Energy,False,Cash,Stage 2,watchlist,50.71,6.0,8.39,-3.33,13.59,286.3
WELENT.NS,Welspun Enterprises Limited,Engineering & Construction,Industrials,False,Cash,Stage 2,watchlist,31.83,5.12,7.05,22.21,44.88,741.7
JTLIND.NS,JTL INDUSTRIES LIMITED,Steel,Basic Materials,False,Cash,Stage 2,watchlist,57.65,5.04,14.06,17.17,56.5,92.4
RAYMOND.NS,Raymond Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,49.69,5.03,7.44,10.27,56.78,667.25
ZOTA.NS,Zota Health Care LImited,Biotechnology,Healthcare,False,Cash,Stage 4,watchlist,6.13,4.85,0.08,-13.93,-29.09,1078.0
GOODLUCK.NS,Goodluck India Limited,Steel,Basic Materials,False,Cash,Stage 2,watchlist,30.9,4.82,7.63,-5.2,34.1,474.75
MAITHANALL.NS,Maithan Alloys Limited,Steel,Basic Materials,False,Cash,Stage 1,watchlist,20.11,4.79,1.4,5.88,2.27,1019.35
SUPRIYA.NS,Supriya Lifescience Limited,Biotechnology,Healthcare,False,Cash,Stage 3,watchlist,2.48,4.74,7.6,-5.23,13.55,841.2
SAILIFE.NS,Sai Life Sciences Limited,Diagnostics & Research,Healthcare,False,Cash,Stage 2,watchlist,47.48,4.54,8.62,16.14,76.28,1587.0
SHILPAMED.NS,Shilpa Medicare Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,50.93,4.37,7.88,44.04,193.98,928.55
CLEAN.NS,Clean Science and Technology Limited,Specialty Chemicals,Basic Materials,False,Cash,Not Sure,watchlist,26.3,4.36,4.06,11.44,0.73,863.15
DEEPINDS.NS,Deep Industries Limited,Energy,Energy,False,Cash,Stage 2,watchlist,33.98,4.31,4.36,6.47,52.4,693.65
GUFICBIO.NS,Gufic Biosciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,68.55,4.22,7.46,10.54,28.56,438.8
JSWENERGY.NS,JSW Energy Limited,Utilities,Utilities,True,F&O,Failed Stage 2,watchlist,24.61,4.21,-0.68,-4.96,7.9,539.8
COALINDIA.NS,Coal India Limited,Energy,Energy,True,F&O,Stage 4,watchlist,2.49,4.05,3.56,0.06,7.14,417.85
CENTUM.NS,Centum Electronics Limited,Electronic Components,Technology,False,Cash,Failed Stage 2,watchlist,29.16,3.95,6.62,-3.87,55.51,3555.3
IONEXCHANG.NS,ION Exchange (India) Limited,Industrials,Industrials,False,Cash,Not Sure,watchlist,11.48,3.94,3.33,-9.71,2.63,382.1
REDINGTON.NS,Redington Limited,Information Technology Services,Technology,False,Cash,Stage 2,watchlist,48.77,3.89,2.54,3.89,35.0,363.2
DEEDEV.NS,DEE Development Engineers Limited,Metal Fabrication,Industrials,False,Cash,Failed Stage 2,watchlist,12.99,3.88,1.08,-2.11,208.19,643.85
TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities,True,F&O,Stage 4,watchlist,14.32,3.84,0.0,-4.21,-4.08,364.0
63MOONS.NS,63 moons technologies limited,Software - Application,Technology,False,Cash,Stage 2,watchlist,39.01,3.81,3.54,-6.84,10.44,805.1
INNOVACAP.NS,Innova Captab Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,49.02,3.79,7.5,17.69,50.57,1108.6
TCPLPACK.NS,TCPL Packaging Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 2,watchlist,45.45,3.63,3.18,24.56,32.55,4000.3
TFCILTD.NS,Tourism Finance Corporation of India Limited,Credit Services,Financial Services,False,Cash,Stage 2,watchlist,44.88,3.59,3.65,34.18,112.75,146.14
INDOSTAR.NS,IndoStar Capital Finance Limited,Credit Services,Financial Services,False,Cash,Failed Stage 2,watchlist,37.99,3.57,0.61,9.56,8.14,261.07
MUTHOOTMF.NS,Muthoot Microfin Limited,Credit Services,Financial Services,False,Cash,Stage 2,watchlist,39.31,3.56,-4.98,-10.21,17.8,203.2
INDIASHLTR.NS,India Shelter Finance Corporation Limited,Mortgage Finance,Financial Services,False,Cash,Stage 4,watchlist,0.0,3.55,-1.18,-11.09,-19.25,651.2
MAXESTATES.NS,Max Estates Limited,Real Estate,Real Estate,False,Cash,Stage 2,watchlist,30.13,3.51,-6.7,32.62,13.95,520.65
SAMMAANCAP.NS,Sammaan Capital Limited,Mortgage Finance,Financial Services,True,F&O,Failed Stage 2,watchlist,7.43,3.51,1.91,-4.97,5.62,152.31
SEAMECLTD.NS,Seamec Limited,Marine Shipping,Industrials,False,Cash,Stage 2,watchlist,39.84,3.39,4.68,17.38,58.87,1735.7
BOROLTD.NS,Borosil Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,False,Cash,Not Sure,watchlist,20.06,3.34,-2.13,4.19,-9.65,249.92
BEML.NS,BEML Limited,Conglomerates,Industrials,False,Cash,Stage 2,watchlist,48.57,3.16,4.89,20.22,10.32,2032.4
ICIL.NS,Indo Count Industries Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,43.18,3.16,5.06,6.95,58.18,447.15
NUVAMA.NS,Nuvama Wealth Management Limited,Asset Management,Financial Services,True,F&O,Stage 2,watchlist,29.42,3.14,3.47,8.66,27.43,1841.0
MARKSANS.NS,Marksans Pharma Limited,Drug Manufacturers - General,Healthcare,False,Cash,Stage 2,watchlist,47.93,3.13,0.44,23.9,85.37,332.5
ARVIND.NS,Arvind Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,48.19,3.04,5.92,4.88,80.15,574.05
STLTECH.NS,Sterlite Technologies Limited,Communication Equipment,Technology,False,Cash,Stage 2,watchlist,34.75,2.98,7.79,18.18,596.93,714.35
KALYANKJIL.NS,Kalyan Jewellers India Limited,Luxury Goods,Consumer Cyclical,True,F&O,Stage 2,watchlist,47.98,2.97,-3.37,-0.24,21.85,590.0
WOCKPHARMA.NS,Wockhardt Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Failed Stage 2,watchlist,43.42,2.9,1.18,-5.85,33.83,1904.3
BLISSGVS.NS,Bliss GVS Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,22.46,2.89,13.7,32.45,301.78,648.65
LXCHEM.NS,Laxmi Organic Industries Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 1,watchlist,7.92,2.82,-1.54,-8.0,1.15,169.55
AXISCADES.NS,AXISCADES Technologies Limited,Engineering & Construction,Industrials,False,Cash,Not Sure,watchlist,8.8,2.77,5.17,6.73,25.84,1689.7
JASH.NS,Jash Engineering Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,52.79,2.76,-3.97,-4.98,8.21,470.35
RPEL.NS,Raghav Productivity Enhancers Limited,Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,24.04,2.75,2.18,39.02,84.06,1774.6
ZENTEC.NS,Zen Technologies Limited,Aerospace & Defense,Industrials,False,Cash,Failed Stage 2,watchlist,34.35,2.72,-2.36,8.71,34.9,1829.1
SOLARINDS.NS,Solar Industries India Limited,Specialty Chemicals,Basic Materials,True,F&O,Stage 2,watchlist,50.97,2.69,2.5,10.16,69.42,20600.0
BAJAJCON.NS,Bajaj Consumer Care Limited,Household & Personal Products,Consumer Defensive,False,Cash,Stage 3,watchlist,2.0,2.67,4.54,-10.96,82.37,484.55
BANARISUG.NS,Bannari Amman Sugars Limited,Consumer Defensive,Consumer Defensive,False,Cash,Failed Stage 2,watchlist,7.63,2.62,0.44,11.04,7.34,3864.8
KAJARIACER.NS,Kajaria Ceramics Limited,Building Products & Equipment,Industrials,False,Cash,Stage 2,high_conviction_near_pivot,67.45,2.61,4.27,5.28,30.98,1261.1
GENUSPOWER.NS,Genus Power Infrastructures Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,50.17,2.52,-1.45,6.36,12.67,336.15
INOXGREEN.NS,Inox Green Energy Services Limited,Utilities - Renewable,Utilities,False,Cash,Stage 4,watchlist,0.0,2.47,-5.86,-7.87,-21.02,164.25
AUTOAXLES.NS,Automotive Axles Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 1,watchlist,22.25,2.46,-0.74,-5.76,-6.32,1732.5
ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Utilities,True,F&O,Stage 3,watchlist,14.47,2.45,-0.55,-6.36,26.33,1296.0
TORNTPOWER.NS,Torrent Power Limited,Utilities,Utilities,False,Cash,Stage 4,watchlist,0.0,2.43,-0.75,-6.87,-4.58,1248.9
GODREJAGRO.NS,Godrej Agrovet Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 2,watchlist,40.53,2.42,7.11,19.0,20.24,670.25
PARAS.NS,Paras Defence and Space Technologies Limited,Aerospace & Defense,Industrials,False,Cash,Stage 2,watchlist,34.57,2.39,-5.27,8.75,106.75,1413.1
MAHSEAMLES.NS,Maharashtra Seamless Limited,Steel,Basic Materials,False,Cash,Stage 2,watchlist,41.78,2.38,6.08,16.6,21.71,665.05
RBLBANK.NS,RBL Bank Limited,Banks - Regional,Financial Services,True,F&O,Stage 2,watchlist,46.82,2.34,1.8,2.59,23.82,389.4
STAR.NS,Strides Pharma Science Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Not Sure,watchlist,37.67,2.3,6.6,5.35,15.51,1047.8
CGCL.NS,Capri Global Capital Limited,Credit Services,Financial Services,False,Cash,Stage 2,watchlist,38.9,2.27,0.1,12.21,38.4,256.6
SUNFLAG.NS,Sunflag Iron And Steel Company Limited,Steel,Basic Materials,False,Cash,Failed Stage 2,watchlist,26.31,2.25,-0.9,-5.69,27.64,347.3
VBL.NS,Varun Beverages Limited,Consumer Defensive,Consumer Defensive,True,F&O,Stage 4,watchlist,0.0,2.25,-1.48,-5.47,-15.33,415.0
MRPL.NS,Mangalore Refinery and Petrochemicals Limited,Oil & Gas Refining & Marketing,Energy,False,Cash,Stage 2,watchlist,50.85,2.22,0.93,3.29,16.57,175.22
FDC.NS,FDC Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 4,watchlist,10.0,2.1,-1.92,-15.41,-17.65,340.6
NPST.NS,Network People Services Technologies Limited,Software - Application,Technology,False,Cash,Stage 1,watchlist,16.09,2.08,1.79,11.1,23.69,1690.0
RAYMONDLSL.NS,Raymond Lifestyle Limited,Apparel Manufacturing,Consumer Cyclical,False,Cash,Stage 4,watchlist,0.0,2.06,-8.38,-12.57,-36.13,650.3
CUPID.NS,Cupid Limited,Household & Personal Products,Consumer Defensive,False,Cash,Stage 2,watchlist,29.79,2.05,-1.16,17.95,167.38,280.7
VSSL.NS,Vardhman Special Steels Limited,Steel,Basic Materials,False,Cash,Stage 2,watchlist,59.14,2.04,-0.56,19.97,28.06,362.1
JUNIPER.NS,Juniper Hotels Limited,Lodging,Consumer Cyclical,False,Cash,Not Sure,watchlist,23.3,2.04,3.05,11.5,-12.77,218.5
JSLL.NS,Jeena Sikho Lifecare Limited,Medical Care Facilities,Healthcare,False,Cash,Stage 4,watchlist,0.0,2.03,-0.12,-10.55,-24.71,513.65
UPL.NS,UPL Limited,Agricultural Inputs,Basic Materials,True,F&O,Stage 4,watchlist,2.15,2.0,-1.84,-0.59,-27.48,578.45
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Oil & Gas Refining & Marketing,Energy,False,Cash,Stage 2,watchlist,32.71,1.95,2.84,11.31,75.7,1414.0
