ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
PRUDENT.NS,Prudent Corporate Advisory Services Limited,Asset Management,Financial Services,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,81.61,69.77,76.28,2.0,81.61,69.77,78.28,17.29,22.45,68438558.87,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",6,67,Stage 2,watchlist,weekly_near_pivot,60.43,61,17.85,False,True,False,True,True
GOLDIAM.NS,Goldiam International Limited,Luxury Goods,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,watchlist,weekly_near_pivot,watchlist,60.75,73.8,66.62,10.0,60.75,73.8,76.62,29.6,51.28,569047851.48,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",9,180,Stage 2,watchlist,weekly_forming,48.43,171,28.190000000000005,False,False,False,True,True
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Medical Care Facilities,Healthcare,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,forming_vcp,weekly_breakout,watchlist,80.52,63.11,72.69,5.0,80.52,63.11,77.69,13.87,28.27,2484809857.15,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",7,66,Stage 2,watchlist,weekly_breakout,60.54,59,17.15,False,False,False,True,True
SYRMA.NS,Syrma SGS Technology Limited,Electronic Components,Technology,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,66.74,65.8,66.32,10.0,66.74,65.8,76.32,60.4,104.99,1993779094.76,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",10,45,Stage 2,watchlist,weekly_breakout,63.41,35,12.909999999999997,False,False,False,True,True
MUTHOOTMF.NS,Muthoot Microfin Limited,Credit Services,Financial Services,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,84.2,64.22,75.21,5.0,84.2,64.22,80.21,32.93,31.23,314826715.51,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",4,15,Stage 2,watchlist,weekly_near_pivot,68.68,11,11.529999999999987,False,True,False,True,False
MANAPPURAM.NS,Manappuram Finance Limited,Credit Services,Financial Services,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,71.29,70.19,70.8,5.0,71.29,70.19,75.8,25.24,18.7,1109083102.87,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",12,34,Stage 2,watchlist,weekly_near_pivot,64.73,22,11.069999999999993,False,True,False,False,True
GRAVITA.NS,Gravita India Limited,Metal Fabrication,Industrials,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,63.03,68.63,65.55,10.0,63.03,68.63,75.55,12.86,15.45,535434207.74,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong",14,23,Stage 2,watchlist,weekly_near_pivot,66.13,9,9.420000000000002,False,True,False,False,True
KARURVYSYA.NS,Karur Vysya Bank Limited,Banks - Regional,Financial Services,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,watchlist,weekly_near_pivot,watchlist,76.78,68.48,73.05,2.0,76.78,68.48,75.05,7.4,19.37,743366964.48,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",18,61,Stage 2,watchlist,weekly_forming,60.89,43,14.159999999999997,False,False,False,False,True
LTF.NS,L&T Finance Limited,Credit Services,Financial Services,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,78.8,60.54,70.58,5.0,78.8,60.54,75.58,13.68,13.67,2195932650.04,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",13,38,Stage 2,watchlist,weekly_breakout,63.99,25,11.589999999999996,False,False,False,False,True
LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,watchlist,weekly_breakout,watchlist,65.75,63.8,64.87,10.0,65.75,63.8,74.87,35.92,47.88,3922778786.57,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",20,33,Stage 2,watchlist,weekly_breakout,64.87,13,10.0,False,False,False,False,True
EQUITASBNK.NS,Equitas Small Finance Bank Limited,Banks - Regional,Financial Services,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-08,,breakout_today,weekly_watchlist,watchlist,94.41,37.63,68.86,2.0,94.41,37.63,70.86,24.47,31.82,283424232.63,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, volume_dryup, daily_breakout_volume",47,58,Stage 2,near_pivot,weekly_watchlist,61.63,11,9.229999999999997,True,False,False,False,False
IONEXCHANG.NS,ION Exchange (India) Limited,Industrials,Industrials,False,Cash,1,Not Sure,Stage 2,Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,weekly_breakout,watchlist,53.93,59.16,56.28,0.0,53.93,59.16,56.28,15.24,35.04,630669179.37,"Stage 2, Extended Stage 2, weekly_vcp_ok, weekly_strong | Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.",203,608,Stage 1,watchlist,weekly_watchlist,24.67,405,31.61,False,True,False,False,False
INDOSTAR.NS,IndoStar Capital Finance Limited,Credit Services,Financial Services,False,Cash,1,Not Sure,Stage 2,Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,weekly_breakout,watchlist,59.87,63.17,61.36,5.0,59.87,63.17,66.36,22.31,20.4,31656541.42,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong | Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.",83,365,Stage 1,watchlist,weekly_watchlist,34.98,282,31.380000000000003,False,True,False,False,False
